(423.7282904374591, 396.21800916427753)
(423.61892658506855, 396.24274393064456)
(435.1810269435874, 391.1508039682352)
(185.96294706869395, 394.5213338015954)
(219.99990000004547, 397.9998190909913)
(209.4998952500524, 396.99980150009924)
(199.9998888889506, 395.99978000012226)
(180.49990975004513, 393.9998030000985)
(170.9999050000528, 392.99978166678795)
(122.99993166670463, 387.9997844445642)
(0.0, 0.0)
(263.5664031002636, 380.7996192003808)
(250.36464697302424, 378.6626560009436)
(254.99872500637497, 377.99811000944993)
(249.96166667923495, 378.65014907645383)
(424.85562630354366, 379.9123319678008)
(424.7693304531786, 379.98832790833393)
(130.4702838894199, 377.0912208882499)
(130.40875582059527, 377.16337968677493)
(117.99996722223132, 376.1017473791442)
(120.1753120961627, 376.2276741463079)
(117.59410064281103, 376.2750351231578)
(114.49971375071563, 374.9990625023438)
(338.39928882579125, 377.4077451024285)
(338.56258956739833, 377.41608780262146)
(206.03692257208004, 369.63868353406474)
(259.55659398182513, 365.1977321979841)
(259.5764400498306, 365.1332903764756)
(126.32502888971518, 361.32003038274985)
(126.25356324087157, 361.2596693750917)
(499.56695880753, 351.91233485439847)
(499.46622356845194, 351.93830228073574)
(413.46833366136747, 349.6546649926839)
(413.356274326865, 349.68961497820516)
(0.0, 0.0)
(209.0485552045003, 337.16747030142676)
(208.92768567136315, 337.19875455436693)
(452.269561287739, 333.14973786897275)
(452.2170346817066, 333.31808081270276)
(452.99773501132495, 328.99835500822496)
(264.37022349802396, 333.52759248467083)
(128.9742597633899, 329.9612846451657)
(217.41171355018503, 323.21561022377796)
(214.99892500537496, 323.99838000809996)
(212.99893500532497, 323.99838000809996)
(218.93485255210442, 323.50390723386636)
(215.8092155106445, 321.99954000065713)
(204.851624238936, 321.99964222261974)
(338.5952008869742, 324.02377391680136)
(338.6056755879228, 324.0037724948069)
(457.06914535000544, 321.1860637611955)
(457.0453160468739, 321.2574784068247)
(487.5671391727254, 320.9022351585792)
(487.4587661813216, 320.94702106505633)
(441.2648658317685, 321.0789135706407)
(441.28169349821104, 321.11305701035036)
(0.0, 0.0)
(477.6967525620821, 308.5150112810555)
(477.55883168247414, 308.30087636502594)
(136.3042293006702, 310.59393281687)
(135.9993200034, 311.99844000779996)
(0.0, 0.0)
(484.6569735271961, 305.66055345559755)
(411.90871644662144, 307.8482049864803)
(381.1387981415559, 302.74595966366036)
(382.3014052532991, 303.7379506009759)
(381.9980900095499, 299.99850000749996)
(379.20598805778917, 300.9679673320946)
(365.1423230754524, 305.5468431722038)
(365.1485110345821, 305.5488798316435)
(141.67145652035074, 298.12551745154076)
(141.6775491767598, 298.14197875126376)
(125.71299903247781, 297.0516616344034)
(125.68834804477142, 297.01574394291)
(373.8811761056138, 292.0181848352005)
(373.8379884272413, 292.0570594122687)
(0.0, 0.0)
(96.84627666532538, 282.752993151676)
(96.83819530157558, 282.69782268641444)
(283.1110290499432, 273.33808502277725)
(283.10247699410957, 273.3281210272448)
(384.57638009967525, 271.9920928646056)
(384.37026360085264, 272.09714663968145)
(0.0, 0.0)
(0.0, 0.0)
(229.28087311450864, 270.2808685077676)
(229.28158284119738, 270.2815781285542)
(275.8031463928161, 262.7188121962701)
(274.99862500687493, 265.99867000664995)
(275.84118227264054, 262.6983293021177)
(292.4456398770932, 259.3609289840594)
(292.44890646062737, 259.354497955164)
(387.56419573984067, 256.0989316563613)
(387.615494362107, 256.0388233899194)
(265.99867000664995, 250.99874500627496)
(254.22155057168968, 249.99804431621837)
(254.2141106003098, 250.1070403910658)
(269.02368141729454, 244.39670901744014)
(268.9998206667862, 244.5331703112198)
(472.47345581468824, 247.68886348490287)
